dummyCell,vep,boutNo,boutLength,phase,center,meanMaize,relToAll,nHouse,fieldContention,modelledpop,greatkiva,plaza,oversizepit,greathouse,multiwalls,encwall,towers,reservoir
5553,10,1,85,0,1,0.6703656532287539,0.010190208693486595,1.2962962962962963,61,641.8518518518518,1,1,0,0,0,0,1,0
5553,10,1,85,1,1,0.638732307487064,-0.012325961059994148,1,8,63,0,0,0,0,0,0,0,0
5655,11,1,16,0,1,0.8169991738266416,0.17352884428368678,1,30,518.75,0,0,0,0,0,0,1,1
5655,11,1,16,1,1,0.8411707282066345,0.18695730566978455,1,36,870,0,0,0,0,0,0,1,1
5656,12,1,23,0,0,0.7703875443724354,0.13243640559997286,1.631578947368421,19,642.9473684210526,1,0,0,0,0,0,1,0
5656,12,1,23,1,0,0.6861575033929613,0.08364421990182667,1,8,592.4,0,0,0,0,0,0,1,0
5656,13,2,18,0,0,0.8526926061250097,0.23061367223889048,1,52,2370.214285714286,0,0,0,0,0,1,1,0
5656,13,2,18,1,0,0.8464005685621693,0.20226772792877695,1,54,3062.2,0,0,0,0,0,1,1,0
5656,14,3,14,0,0,0.7442487853188668,0.07398652607394801,1,77,1626.2,1,0,0,1,0,0,1,0
5656,14,3,14,1,0,0.7997026243517475,0.12683023002839855,1,31,1295.8,1,0,0,1,0,0,1,0
5656,17,4,11,0,0,0.8755868077278137,0.14514222741127014,1,45,2122.8,1,1,1,1,0,1,1,1
5656,17,4,11,1,0,0.8755868077278137,0.1260678917169571,1,39,2416.5,0,1,1,1,0,1,1,1
5684,13,1,17,0,0,0.622825807495454,-0.010560084602312576,1,52,2947.153846153846,0,1,0,1,0,0,1,0
5684,13,1,17,1,0,0.6178049012387712,-0.024862124088911305,1,59,3213.8,0,1,0,1,0,0,1,0
5721,6,1,49,0,0,0.7669105393049024,0.11797564516699005,1.8444444444444446,32,969.0444444444445,0,0,0,0,0,0,1,0
5721,6,1,49,1,0,0.8208170963658227,0.14589881433380975,1,20,854.4,0,0,0,0,0,0,1,0
5724,14,1,20,0,0,0.7996823976357137,0.1480613148380672,1,87,2598.4375,1,0,1,1,1,0,1,0
5724,14,1,20,1,0,0.7584836386865185,0.08709697358069876,1,60,1617,1,0,1,1,1,0,1,0
5724,15,2,50,0,0,0.8342554895690582,0.17555328775171145,1,141,1521.7608695652175,1,1,1,1,1,1,1,0
5724,15,2,50,1,0,0.8598003060586991,0.12864383170681612,1,128,3059.2,1,1,1,1,1,1,1,0
5724,17,3,27,0,0,0.8598003060586991,0.14622929015132852,1,54,2173.521739130435,0,0,1,1,0,1,1,1
5724,17,3,27,1,0,0.8483362878522566,0.09852872144791387,1,41,2489.2,0,0,1,1,0,1,1,1
5737,6,1,26,0,0,0.8591944828314777,0.15505475845766023,1.6818181818181819,19,477.90909090909093,0,0,0,0,0,0,1,0
5737,6,1,26,1,0,0.8596777584817674,0.14867675569322372,1,15,380.4,0,0,0,0,0,0,1,0
5737,6,2,13,0,0,0.8310218022929298,0.15538750423325434,1,20,892.8888888888889,0,0,0,0,0,0,1,0
5737,6,2,13,1,0,0.8310218022929298,0.1530508922206031,1,17,510.8,0,0,0,0,0,0,1,0
5747,6,1,14,0,0,0.8800365786058735,0.20396333737204778,1.6,20,890,0,0,0,0,0,0,1,0
