dummyCell,vep,log10_boutNo,log10_boutLength,center,std_nHouse,std_fieldContention,std_regionalPop,std_localCatchmentQuality,std_catchmentRelToRegion,greatkiva,plaza,oversizepit,greathouse,multiwalls,encwall,towers,reservoir
5553,10,0,1.9294189257142926,1,-0.055536964141998435,-0.21039908658313908,-1.1897733067154017,-0.29106281851442284,-0.26569501066935647,1,1,0,0,0,0,1,0
5655,11,0,1.2041199826559248,1,-0.2269617118210826,-0.8092603575871634,-1.1764775553941504,0.5361394769879978,0.6194771627898195,0,0,0,0,0,0,1,1
5656,12,0,1.3617278360175928,0,0.08017429443727647,-1.2164860218698998,-1.166542209812297,0.15721541498039157,0.329628315989136,1,0,0,0,0,0,1,0
5656,13,0.3010299956639812,1.255272505103306,0,-0.2269617118210826,-0.3780802424642659,0.6750440176115255,0.6793128649429977,0.859285125921071,0,0,0,0,0,1,1,0
5656,14,0.47712125471966244,1.146128035678238,0,-0.2269617118210826,0.17287212685943645,-0.3189363900420289,0.2098189263134533,0.16860273556678915,1,0,0,1,0,0,1,0
5656,17,0.6020599913279624,1.0413926851582251,0,-0.2269617118210826,-0.5936703000257146,0.31000154834953114,0.8098409708091688,0.43301455817252266,1,1,1,1,0,1,1,1
5684,13,0,1.2304489213782739,0,-0.2269617118210826,-0.258307988263461,1.1248237056388857,-0.5414608763970918,-0.388623598401556,0,1,0,1,0,0,1,0
5721,6,0,1.6901960800285136,0,0.2398850176916232,-0.9050781609478072,-0.8546423244399969,0.2606892452216538,0.32173511476522565,0,0,0,0,0,0,1,0
5724,14,0,1.3010299956639813,0,-0.2269617118210826,0.41241663526104616,0.49514047638793446,0.35411639114171106,0.38882255985812075,1,0,1,1,1,0,1,0
5724,15,0.3010299956639812,1.6989700043360187,0,-0.2269617118210826,1.7059569806297386,-0.16889339351804594,0.603404934225052,0.5852243797079755,1,1,1,1,1,1,1,0
5724,17,0.47712125471966244,1.4313637641589874,0,-0.2269617118210826,-0.3780802424642659,0.3657727519848587,0.7150225523200976,0.41069147652285515,0,0,1,1,0,1,1,1
5737,6,0,1.414973347970818,0,0.11430051735487194,-1.2164860218698998,-1.332068086940816,0.7231616486410565,0.49554713553400864,0,0,0,0,0,0,1,0
5737,6,0.3010299956639812,1.1139433523068367,0,-0.2269617118210826,-1.1925315710297388,-1.0475887642207315,0.5728965504620526,0.49911388660639405,0,0,0,0,0,0,1,0
5747,6,0,1.146128035678238,0,0.059698560686719145,-1.1925315710297388,-1.0838103567537496,0.8339477991286366,0.7556888538009123,0,0,0,0,0,0,1,0
5747,7,0.3010299956639812,1.3617278360175928,0,-0.2269617118210826,-1.072759316828934,-1.0417250228065753,0.8336745811935717,0.8778809250622669,0,0,0,0,0,0,1,0
5775,14,0,1.380211241711606,0,-0.2269617118210826,0.41241663526104616,0.290519995472788,-0.34037179057213446,-0.31627321196853564,1,0,1,1,0,0,1,0
5775,16,0.3010299956639812,1.6532125137753437,0,0.20035794906011262,1.7059569806297386,1.2621112004545736,-0.38279523711155056,-0.5097039028507877,1,1,1,1,1,1,1,1
5787,11,0,1.2304489213782739,0,0.38731030069563555,-0.8092603575871634,-0.9660939874098964,0.7907343231379987,0.8213955583618472,0,0,0,0,0,0,1,1
5787,14,0.3010299956639812,1.6232492903979006,0,-0.08410775542184584,0.41241663526104616,0.7177717110585266,0.648159032948004,0.7194439565489327,0,1,0,0,0,0,1,1
5804,16,0,1.591064607026499,0,-0.2269617118210826,1.6820025297895775,1.3447731980102238,0.6155891469768153,0.4636599953122217,1,1,1,1,1,1,1,0
5948,6,0,1.0791812460476249,0,-0.2269617118210826,-0.9050781609478072,-0.6179048963336621,0.5047976268663489,0.5663673512711257,0,0,0,0,0,0,1,0
5948,7,0.3010299956639812,1.3424226808222062,0,-0.04000936018555967,-0.8332148084273243,-1.0045434756548477,0.26090754868076266,0.2684302601896076,0,0,0,0,0,0,1,0
5948,12,0.47712125471966244,1.8388490907372552,0,0.23812995479871826,-0.8092603575871634,-1.1947041554317572,0.1724668743649317,0.2977449726276715,1,0,0,0,0,0,1,0
5948,14,0.6020599913279624,1.591064607026499,0,0.21838549725353812,0.41241663526104616,0.7577127647562224,0.433747489539703,0.5587421216298172,0,0,0,0,0,1,1,0
6019,13,0,1.2304489213782739,0,-0.2269617118210826,-0.258307988263461,1.1248237056388857,-0.5709561638763102,-0.4177493636383112,0,0,0,0,0,1,1,0
6118,8,0,1,0,-0.2269617118210826,-1.3602127269108657,-1.241847452960802,0.04042952682371767,0.08978140145738524,0,0,0,0,0,0,1,0
6118,14,0.3010299956639812,1.146128035678238,0,-0.2269617118210826,0.17287212685943645,-0.3189363900420289,-0.30728439310493033,-0.34202222088220846,0,0,0,0,0,0,1,1
6122,6,0.3010299956639812,1.462397997898956,0,-0.2269617118210826,-0.9050781609478072,-0.7765754288157457,0.45285666715562495,0.4515488463685232,0,0,0,0,0,0,1,0
6143,13,0,1.0791812460476249,0,-0.2269617118210826,-0.42598914414458783,0.9288579448403262,0.7229760700868738,0.8862381982822669,0,0,0,0,0,1,1,0
6143,15,0.3010299956639812,1.6532125137753437,0,0.18700420965757536,0.9394145537445875,-0.5425379466403091,0.4929801067521091,0.548860284746558,1,1,1,1,1,1,1,0
6143,16,0.47712125471966244,1.6532125137753437,0,0.22706542786518732,1.7059569806297386,1.2621112004545736,0.2657820187520477,0.13074786102815594,1,1,1,1,1,1,1,1
6145,13,0,1.2787536009528289,1,-0.2269617118210826,-0.5697158491855536,-0.7673350402036028,0.4275438057704243,0.7541681121264595,0,1,0,1,0,0,1,0
6145,15,0.3010299956639812,1.1760912590556813,1,-0.2269617118210826,-0.18644463574297812,-0.7528629609801726,0.234531722344819,0.39231587325190126,1,1,0,1,0,0,1,1
6157,15,0,1.146128035678238,0,-0.2269617118210826,-0.18644463574297812,-0.7614518862083282,0.6169200039352464,0.7851864194064935,1,1,1,1,1,1,1,1
6166,6,0,1.2041199826559248,0,-0.010159825050476145,-1.1925315710297388,-1.0617109131973312,1.167996474003636,1.0869950682742635,0,0,1,0,0,0,0,0
6166,10,0.3010299956639812,1.3222192947339193,0,0.33146739046684304,-0.21039908658313908,-0.6459601086914102,0.7664317393575806,0.7357291392688322,1,1,1,0,0,0,1,0
6166,17,0.47712125471966244,1.9822712330395684,0,0.6976126575339777,1.7059569806297386,0.7077399072117585,1.0911986039789565,0.9815390731614584,1,1,1,1,1,1,1,0
6190,7,0,1.380211241711606,0,0.04331797368627335,-0.8332148084273243,-1.0360289147399546,0.20924791245673116,0.2357349669768017,0,0,0,0,0,0,1,0
6190,10,0.3010299956639812,1.146128035678238,0,-0.02220437431550993,-0.23435353742330006,-1.265037078738618,0.3014165952499124,0.40204374367876,1,1,1,0,0,0,1,0
6240,12,0,1.0791812460476249,0,0.10380014107253492,-1.4799849811116705,-1.2821208528402808,0.2439953206069169,0.5494898642199509,0,0,0,0,0,0,1,0
6281,16,0,1.1139433523068367,0,-0.2269617118210826,0.07705432349879257,1.0187548849658015,-0.2419594367840395,-0.16803911419098216,1,0,1,1,0,1,1,0
6295,16,0,1.6532125137753437,0,0.22706542786518732,1.7059569806297386,1.2329387083489887,-0.14954271699177862,-0.28080660640731764,1,1,0,1,0,0,1,1
6295,18,0.3010299956639812,1.8692317197309762,0,0.28902677869296073,1.370594668867485,0.7161533975656907,-0.25519489616343677,-0.449638808272395,1,1,1,1,1,1,1,1
6296,19,0,1.255272505103306,0,-0.2269617118210826,2.23295489911328,1.1901397288282223,0.1651808248266226,0.23525614108446014,0,0,1,0,1,0,1,1
6322,14,0,1.505149978319906,0,-0.2269617118210826,0.41241663526104616,1.0099704324834444,0.12557130084897686,0.24512247512476718,0,1,0,1,0,0,1,1
6367,15,0,1.0791812460476249,0,-0.2269617118210826,1.6820025297895775,-0.4941668204547909,-0.010324009247106703,0.03803163512259192,1,1,0,1,0,0,1,1
6367,17,0.3010299956639812,1.591064607026499,0,-0.2269617118210826,0.41241663526104616,1.1386150122872283,-0.08706647583489267,-0.07602639245920029,1,1,0,1,0,0,1,1
6419,11,0,0.8450980400142568,0,-0.2269617118210826,-1.4560305302715095,-1.5258062808960096,0.2082509990297919,0.22697627602265133,0,0,0,0,0,0,1,0
6419,14,0.3010299956639812,1.5314789170422551,0,0.0538483510437028,0.41241663526104616,0.9492669798958392,0.07755890830195226,0.1821637208102875,0,1,0,1,0,0,1,1
6461,10,0,1.7075701760979363,1,0.15105183434305167,-0.21039908658313908,-1.0863498034511243,1.2154906014543456,1.2239637752943004,1,1,1,0,0,0,1,0
6461,11,0.3010299956639812,1.1139433523068367,1,-0.2269617118210826,-0.8092603575871634,-1.0050409540763359,1.0814191289579387,1.1252254230392522,1,0,1,0,0,0,0,0
6461,11,0.47712125471966244,1.1139433523068367,1,-0.2269617118210826,-1.2164860218698998,-1.163584645983151,1.0201390624142517,1.1114725673782209,1,0,1,0,0,0,0,0
6508,11,0,1.3222192947339193,0,0.38731030069563555,-0.8092603575871634,-1.0309520783920563,-0.5292581340189099,-0.467031404890291,0,0,0,0,0,0,0,0
6573,11,0,1.2304489213782739,0,-0.2269617118210826,-0.8092603575871634,-0.9660939874098964,0.4108068976179425,0.4462279316520393,1,0,0,0,0,0,1,0
6573,12,0.3010299956639812,1.2304489213782739,0,-0.2269617118210826,-1.4560305302715095,-1.1381122944456399,0.15259636088743406,0.3151027609507617,1,0,0,0,0,0,1,0
6573,15,0.47712125471966244,1.845098040014257,0,-0.10583765301496918,0.41241663526104616,0.18353107528248408,0.3221623878248825,0.39985207519794413,1,1,1,1,0,1,1,0
6573,17,0.6020599913279624,1.7708520116421442,0,-0.2269617118210826,1.6820025297895775,1.1867833356235382,0.15095230578987345,0.05745381519519727,1,1,1,1,0,1,1,1
6605,16,0,1.146128035678238,0,-0.2269617118210826,0.41241663526104616,1.6546059860684232,-1.3258313093494862,-1.2549423675832776,0,0,0,0,0,0,1,0
6612,17,0,1.9777236052888478,1,1.583860991743826,1.7059569806297386,0.7130795295373175,0.6963284287518157,0.5939849012341387,1,1,1,1,1,1,1,1
6612,18,0.3010299956639812,1.3617278360175928,0,0.15695829600186625,-0.42598914414458783,0.7205433814980343,0.8028172507305018,0.44586195309481735,1,1,1,1,1,1,1,1
6612,18,0.47712125471966244,1.0413926851582251,0,-0.2269617118210826,1.394549119707646,1.1366006715171073,0.6715478053194718,0.6894578590701571,1,1,1,1,1,1,1,1
6643,14,0,1.505149978319906,0,-0.2269617118210826,0.41241663526104616,1.0099704324834444,0.7753034320638944,0.8867146458698558,0,1,0,0,0,0,1,1
6649,11,0,1.1139433523068367,0,0.03629772211465377,-1.4560305302715095,-1.5530923765320896,-0.17975262557685776,-0.13421464483074722,0,0,0,0,0,0,1,0
6686,16,0,1.591064607026499,0,-0.2269617118210826,1.7059569806297386,1.2535763176677144,-0.4179022230190108,-0.5745050428884082,1,1,1,1,1,0,1,0
6720,6,0,1.3010299956639813,0,-0.2269617118210826,-1.2164860218698998,-1.2534078007324312,0.8169123048537048,0.5727759421138104,0,0,0,0,0,0,1,0
6720,6,0.3010299956639812,1.255272505103306,0,-0.2269617118210826,-1.2164860218698998,-1.1991511390295257,0.568176116621295,0.4539385101098144,0,0,1,0,0,0,1,0
6720,6,0.47712125471966244,1.146128035678238,0,-0.2269617118210826,-1.120668218509256,-0.8803299653084944,0.22797335608714608,0.39753518027734797,0,0,1,0,0,0,1,0
6720,6,0.6020599913279624,0.9030899869919435,0,-0.2269617118210826,-1.120668218509256,-0.7962605473470356,0.6573113222017516,0.6521169934150106,0,0,1,0,0,0,1,0
6720,6,0.6989700043360189,0.8450980400142568,0,-0.2269617118210826,-1.1925315710297388,-0.9071159015016531,0.7096695659501122,0.6356948557086235,0,0,0,0,0,0,1,0
6737,16,0,1.662757831681574,0,0.23047489324455864,1.7059569806297386,1.2312869329454468,0.23950341132450995,0.1077168545187521,1,1,1,1,1,1,1,1
6789,16,0,1.6020599913279623,0,-0.2269617118210826,1.7059569806297386,1.3299048598228689,0.45584764426605673,0.30473438190255564,1,1,1,1,0,1,1,1
6831,7,0,1.1139433523068367,0,-0.2269617118210826,-1.2404404727100609,-0.9359093269657149,-0.01630585237839894,0.0749212690741691,0,1,1,0,0,0,1,0
6831,8,0.3010299956639812,1.0413926851582251,0,-0.2269617118210826,0.36450773358072425,-1.106911328284107,0.34268136326569665,0.054333202654366954,1,1,1,0,0,0,1,0
6844,16,0,1.1139433523068367,0,-0.2269617118210826,0.07705432349879257,1.0187548849658015,-3.10846916151644,-2.9986366918635308,1,0,1,0,0,1,1,1
6869,6,0,1.3010299956639813,0,-0.2269617118210826,-1.2164860218698998,-1.2534078007324312,-3.5474031815809868,-3.7368626185068368,0,0,0,0,0,0,1,0
6869,6,0.3010299956639812,0.8450980400142568,0,-0.2269617118210826,-1.1925315710297388,-0.9071159015016531,-3.5474031815809868,-3.5680445222424737,0,0,0,0,0,0,1,0
6869,14,0.47712125471966244,1.505149978319906,0,0.7223677620683909,0.41241663526104616,1.0099704324834444,-2.8943838587984305,-2.7369981455808476,0,1,0,0,0,0,1,1
6885,12,0,1.6232492903979006,0,-0.2269617118210826,-0.9050781609478072,-1.2003580763214092,-0.3787834248160494,-0.23064833278484775,1,0,0,0,0,0,1,1
6885,14,0.3010299956639812,1.5314789170422551,0,-0.2269617118210826,0.41241663526104616,0.915749445720898,-0.2683566872189118,-0.13416928729168595,0,1,0,1,0,0,1,1
7015,18,0,0.9542425094393249,0,-0.2269617118210826,1.370594668867485,1.1520439507547027,0.2710518374636468,0.2817181564005687,1,1,1,1,0,1,1,1
7073,14,0,1.505149978319906,0,-0.2269617118210826,0.41241663526104616,1.0099704324834444,0.961151277146369,1.0702341558743882,1,0,1,1,1,0,1,1
7113,14,0.3010299956639812,1.0791812460476249,0,-0.2269617118210826,0.41241663526104616,0.6310601665176521,-0.312373999370465,-0.2779407288936463,0,1,0,1,0,0,1,1
7113,19,0.47712125471966244,1,0,-0.2269617118210826,1.8257292348305434,1.138388289949466,-0.312373999370465,-0.18508228444027042,1,1,1,1,1,1,1,0
7117,14,0,1.505149978319906,0,-0.2269617118210826,0.41241663526104616,1.0099704324834444,-0.42774326987666605,-0.301260071591743,0,1,0,1,0,0,1,1
7137,16,0,1.3617278360175928,0,-0.2269617118210826,1.7059569806297386,1.1252500211457894,1.0066104135784177,0.7110002227431967,1,1,1,1,1,1,1,0
7281,6,0,1.255272505103306,0,-0.2269617118210826,-1.2404404727100609,-1.0139226606943241,-0.2705170897541936,-0.2233074992219615,0,0,0,0,0,0,1,0
7281,6,0.3010299956639812,1.1760912590556813,0,-0.2269617118210826,-0.9050781609478072,-0.6478894285848705,-0.25101582332571687,-0.16731301282975503,0,0,0,0,0,0,1,0
7281,12,0.6020599913279624,1.2304489213782739,0,0.38731030069563555,-1.4560305302715095,-1.1381122944456399,-0.39670539273716293,-0.22731724195581124,1,0,0,0,0,0,1,0
7281,13,0.6989700043360189,0.9030899869919435,0,-0.2269617118210826,-0.42598914414458783,1.1023355626497024,-0.2367166145797869,-0.06226487335602055,0,1,0,1,0,0,1,0
7292,6,0,1.3010299956639813,0,-0.2269617118210826,-1.2164860218698998,-1.2534078007324312,0.7641212550582821,0.5206462680420909,0,0,0,0,0,0,1,0
