year,nCenters_18km,dummyCell
1031,10,91167
1032,10,91167
1033,10,91167
1034,10,91167
1035,10,91167
1036,11,91167
1037,11,91167
1038,11,91167
1039,11,91167
1040,12,91167
1041,11,91167
1042,10,91167
1043,10,91167
1044,10,91167
1045,10,91167
1046,10,91167
1047,10,91167
1048,12,91167
1049,12,91167
1050,11,91167
1051,11,91167
1052,12,91167
1053,12,91167
1054,12,91167
1055,12,91167
1056,12,91167
1057,12,91167
1058,12,91167
1059,12,91167
1060,12,91167
1061,12,91167
1062,12,91167
1063,12,91167
1165,10,38250
1166,10,38250
1167,10,38250
1168,10,38250
1169,10,38250
1170,10,38250
1171,10,38250
1172,10,38250
1173,8,38250
1174,8,38250
1175,8,38250
1176,10,38250
1177,10,38250
1178,9,38250
1179,9,38250
1180,9,38250
1181,10,38250
1182,10,38250
1183,9,38250
1184,9,38250
1185,9,38250
1186,10,38250
1187,10,38250
1188,10,38250
1189,10,38250
1190,10,38250
1191,10,38250
1192,9,38250
1193,11,38250
1194,11,38250
1195,13,38250
1196,14,38250
1197,15,38250
1198,15,38250
1199,15,38250
1200,15,38250
1201,15,38250
1202,15,38250
1203,15,38250
1204,15,38250
1205,14,38250
1206,15,38250
1207,15,38250
1208,15,38250
1209,15,38250
1210,15,38250
1211,15,38250
1212,15,38250
922,1,14098
923,1,14098
924,2,14098
925,3,14098
926,3,14098
927,4,14098
928,4,14098
929,4,14098
930,5,14098
931,7,14098
932,7,14098
933,7,14098
934,7,14098
1165,10,57539
1166,10,57539
1167,10,57539
1168,10,57539
1169,10,57539
1170,10,57539
1171,10,57539
1172,10,57539
1173,8,57539
1174,8,57539
1175,8,57539
1176,10,57539
1177,10,57539
1178,9,57539
1179,9,57539
1180,9,57539
1181,10,57539
1182,10,57539
1183,9,57539
1184,9,57539
1185,9,57539
1186,10,57539
1187,10,57539
1188,10,57539
1189,10,57539
1190,10,57539
1191,10,57539
1192,9,57539
1193,11,57539
1194,11,57539
1195,13,57539
1196,14,57539
1197,15,57539
1198,15,57539
1199,15,57539
1200,15,57539
1201,15,57539
1202,15,57539
1203,15,57539
1204,15,57539
1205,14,57539
1206,15,57539
1207,15,57539
1208,15,57539
1209,15,57539
1210,15,57539
1211,15,57539
1212,15,57539
1032,10,38153
1033,10,38153
1034,10,38153
1035,10,38153
1036,11,38153
1037,11,38153
1038,11,38153
1039,11,38153
1040,12,38153
1041,11,38153
1042,10,38153
1043,10,38153
1044,10,38153
1045,10,38153
1046,10,38153
1047,10,38153
1048,12,38153
1049,12,38153
1050,11,38153
1051,11,38153
1052,12,38153
1053,12,38153
1054,12,38153
1055,12,38153
1056,12,38153
1057,12,38153
1058,12,38153
1059,12,38153
1060,12,38153
1061,12,38153
1062,12,38153
1063,12,38153
1064,12,38153
1065,12,38153
1066,13,38153
1239,21,38153
1240,21,38153
1241,21,38153
1242,22,38153
1243,22,38153
1244,22,38153
1245,22,38153
1246,22,38153
1247,22,38153
1248,22,38153
1249,22,38153
1250,21,38153
1251,21,38153
1252,21,38153
1253,21,38153
1254,21,38153
1255,21,38153
1256,20,38153
1257,19,38153
1258,19,38153
1259,18,38153
1260,17,38153
1261,16,38153
1262,16,38153
1263,16,38153
1264,16,38153
1265,15,38153
1266,14,38153
1267,14,38153
1268,14,38153
1269,15,38153
1270,15,38153
1271,15,38153
1272,15,38153
1273,15,38153
1274,15,38153
1275,15,38153
1276,15,38153
1277,15,38153
1278,15,38153
1279,15,38153
1164,10,68867
1165,10,68867
1166,10,68867
1167,10,68867
1168,10,68867
1169,10,68867
1170,10,68867
1171,10,68867
1172,10,68867
1173,8,68867
1174,8,68867
1175,8,68867
1176,10,68867
1177,10,68867
1122,10,48722
1123,10,48722
1124,10,48722
1125,12,48722
1126,12,48722
1127,12,48722
1128,13,48722
1129,13,48722
1130,13,48722
1131,13,48722
1132,14,48722
1133,15,48722
1134,14,48722
1135,13,48722
1136,13,48722
1137,13,48722
1138,13,48722
1139,11,48722
1140,11,48722
1141,10,48722
1142,10,48722
1143,10,48722
1144,10,48722
1145,10,48722
1146,11,48722
1147,11,48722
1148,11,48722
1149,11,48722
1150,11,48722
1151,11,48722
1152,11,48722
1153,10,48722
1154,10,48722
1155,10,48722
1156,9,48722
1157,9,48722
1158,8,48722
1159,10,48722
1160,10,48722
1161,10,48722
1162,10,48722
797,3,50938
798,3,50938
799,3,50938
800,3,50938
801,3,50938
802,2,50938
803,2,50938
804,2,50938
805,2,50938
806,2,50938
807,1,50938
808,1,50938
809,1,50938
810,1,50938
811,1,50938
812,1,50938
813,1,50938
814,1,50938
815,1,50938
816,1,50938
817,1,50938
818,1,50938
819,1,50938
820,1,50938
821,1,50938
1036,14,27960
1037,14,27960
1038,14,27960
1039,14,27960
1040,15,27960
1041,14,27960
1042,13,27960
1043,13,27960
1044,14,27960
1045,14,27960
1046,14,27960
1047,14,27960
1048,16,27960
1049,16,27960
1050,15,27960
1051,15,27960
1052,16,27960
1053,16,27960
1054,16,27960
1055,16,27960
1056,16,27960
1057,16,27960
1058,16,27960
1059,16,27960
1060,16,27960
1061,16,27960
1062,16,27960
1063,16,27960
1064,16,27960
1065,16,27960
1066,17,27960
1067,17,27960
1068,17,27960
1069,17,27960
1070,17,27960
1071,16,27960
1072,17,27960
1073,17,27960
1074,17,27960
1075,16,27960
1076,15,27960
1077,15,27960
1078,13,27960
1079,15,27960
1080,15,27960
1081,15,27960
1082,14,27960
1083,14,27960
1084,14,27960
1085,14,27960
1086,14,27960
1087,14,27960
1088,14,27960
1089,14,27960
1090,14,27960
1091,14,27960
1092,14,27960
1093,14,27960
1094,13,27960
1095,13,27960
1096,13,27960
1097,13,27960
1098,13,27960
1099,13,27960
1100,13,27960
1101,13,27960
1102,12,27960
1103,13,27960
1104,13,27960
1105,12,27960
1106,12,27960
1107,12,27960
1108,12,27960
1109,12,27960
1110,12,27960
1111,11,27960
1112,11,27960
1113,11,27960
1031,13,15120
1032,13,15120
1033,13,15120
1034,13,15120
1035,13,15120
1036,14,15120
1037,14,15120
1038,14,15120
1039,14,15120
1040,15,15120
1041,14,15120
1042,13,15120
1043,13,15120
1044,14,15120
1045,14,15120
1046,14,15120
1047,14,15120
1048,16,15120
805,3,81324
806,3,81324
807,2,81324
808,2,81324
809,2,81324
810,2,81324
811,2,81324
812,2,81324
813,2,81324
814,2,81324
815,2,81324
816,2,81324
817,2,81324
818,2,81324
819,2,81324
820,2,81324
821,2,81324
822,1,81324
823,1,81324
824,1,81324
825,1,81324
843,2,81324
844,2,81324
845,3,81324
846,5,81324
847,5,81324
848,6,81324
849,7,81324
850,9,81324
851,9,81324
852,11,81324
853,11,81324
854,13,81324
855,13,81324
856,15,81324
857,15,81324
858,15,81324
859,15,81324
860,15,81324
861,15,81324
862,15,81324
863,14,81324
864,14,81324
865,13,81324
866,13,81324
867,11,81324
868,11,81324
869,10,81324
870,10,81324
871,9,81324
872,8,81324
873,8,81324
874,6,81324
648,1,45818
649,1,45818
650,1,45818
651,1,45818
652,2,45818
653,2,45818
654,2,45818
655,3,45818
656,3,45818
657,3,45818
658,3,45818
659,3,45818
660,3,45818
661,2,45818
662,2,45818
663,2,45818
664,3,45818
665,3,45818
666,3,45818
674,2,45818
675,2,45818
676,2,45818
677,2,45818
678,2,45818
679,3,45818
680,3,45818
681,3,45818
682,3,45818
683,2,45818
684,2,45818
685,2,45818
686,2,45818
687,3,45818
688,3,45818
689,3,45818
637,2,91285
638,2,91285
639,2,91285
640,2,91285
641,2,91285
642,2,91285
643,2,91285
644,2,91285
645,2,91285
646,2,91285
647,1,91285
648,1,91285
649,1,91285
650,1,91285
651,1,91285
652,2,91285
653,2,91285
654,2,91285
655,3,91285
664,3,91285
665,3,91285
666,3,91285
667,3,91285
668,3,91285
669,3,91285
670,2,91285
671,2,91285
672,2,91285
673,2,91285
674,2,91285
675,2,91285
676,2,91285
677,2,91285
678,2,91285
689,3,91285
690,3,91285
691,3,91285
692,3,91285
693,3,91285
694,3,91285
695,3,91285
696,3,91285
697,3,91285
1031,11,85482
1032,11,85482
1033,11,85482
1034,11,85482
1035,11,85482
1036,12,85482
1037,12,85482
1038,12,85482
1039,12,85482
1040,13,85482
1041,12,85482
1042,11,85482
1043,11,85482
1044,11,85482
1045,11,85482
1046,11,85482
1047,11,85482
1048,13,85482
1122,8,52997
1123,8,52997
1124,8,52997
1125,10,52997
1126,10,52997
1127,10,52997
1128,11,52997
1129,11,52997
1130,11,52997
1131,11,52997
1132,12,52997
1133,13,52997
1134,13,52997
1135,13,52997
1136,13,52997
1137,13,52997
1138,13,52997
1139,11,52997
1140,11,52997
1141,10,52997
1142,10,52997
1143,10,52997
1144,10,52997
1145,10,52997
1146,11,52997
1147,11,52997
1148,11,52997
1149,11,52997
1150,11,52997
1151,11,52997
1152,11,52997
1153,10,52997
1154,10,52997
1155,10,52997
1156,9,52997
1157,9,52997
1158,8,52997
1159,10,52997
1160,10,52997
1161,10,52997
1162,10,52997
846,5,72892
847,5,72892
848,6,72892
849,7,72892
850,9,72892
851,9,72892
852,11,72892
853,11,72892
854,13,72892
855,13,72892
856,15,72892
857,15,72892
858,15,72892
859,15,72892
860,15,72892
861,15,72892
862,15,72892
863,14,72892
864,14,72892
865,13,72892
866,13,72892
867,11,72892
868,11,72892
869,10,72892
870,10,72892
871,9,72892
872,8,72892
873,8,72892
874,6,72892
875,6,72892
876,6,72892
877,6,72892
878,6,72892
879,6,72892
880,4,72892
881,3,72892
882,3,72892
883,3,72892
884,2,72892
885,2,72892
886,2,72892
887,1,72892
888,1,72892
889,1,72892
890,1,72892
891,1,72892
892,1,72892
893,1,72892
894,1,72892
895,1,72892
896,1,72892
897,1,72892
898,1,72892
899,1,72892
900,1,72892
901,1,72892
902,1,72892
903,1,72892
904,1,72892
905,1,72892
906,1,72892
1030,13,97192
1031,13,97192
1032,13,97192
1033,13,97192
1034,13,97192
1035,13,97192
1036,14,97192
1037,14,97192
1038,14,97192
1039,14,97192
1040,16,97192
1041,15,97192
1042,14,97192
1043,14,97192
860,14,127978
861,14,127978
862,14,127978
863,14,127978
864,14,127978
865,14,127978
866,15,127978
867,14,127978
868,14,127978
869,14,127978
870,14,127978
871,14,127978
645,2,83137
646,2,83137
647,1,83137
648,1,83137
649,1,83137
650,1,83137
651,1,83137
652,2,83137
653,2,83137
654,2,83137
655,3,83137
656,3,83137
657,3,83137
658,3,83137
659,3,83137
660,3,83137
661,2,83137
662,2,83137
663,2,83137
664,3,83137
665,3,83137
666,3,83137
667,3,83137
668,3,83137
669,3,83137
670,2,83137
671,2,83137
672,2,83137
673,2,83137
674,2,83137
675,2,83137
676,2,83137
677,2,83137
678,2,83137
679,3,83137
680,3,83137
681,3,83137
682,3,83137
683,2,83137
684,2,83137
685,2,83137
686,2,83137
687,3,83137
688,3,83137
689,3,83137
690,3,83137
691,3,83137
1165,13,119486
1166,13,119486
1167,13,119486
1168,13,119486
1169,13,119486
1170,13,119486
1171,13,119486
1172,13,119486
1173,11,119486
1174,11,119486
1175,11,119486
1176,13,119486
1177,13,119486
1178,12,119486
1179,12,119486
1180,12,119486
1181,13,119486
1182,13,119486
1183,12,119486
1184,12,119486
1185,12,119486
1186,13,119486
1187,13,119486
1188,12,119486
1189,12,119486
1190,12,119486
1191,12,119486
1192,11,119486
