year,name,value,Considering
600,min,1,nCells
600,median,1,nCells
600,mean,1.17,nCells
600,max,2,nCells
600,min,1,nHouse
600,median,1,nHouse
600,mean,3.14,nHouse
600,max,9,nHouse
601,min,1,nCells
601,median,1,nCells
601,mean,1.15962441314554,nCells
601,max,2,nCells
601,min,1,nHouse
601,median,1,nHouse
601,mean,3.0093896713615025,nHouse
601,max,9,nHouse
602,min,1,nCells
602,median,1,nCells
602,mean,1.202054794520548,nCells
602,max,3,nCells
602,min,1,nHouse
602,median,1,nHouse
602,mean,2.595890410958904,nHouse
602,max,9,nHouse
603,min,1,nCells
603,median,1,nCells
603,mean,1.1855345911949686,nCells
603,max,3,nCells
603,min,1,nHouse
603,median,1,nHouse
603,mean,2.4654088050314464,nHouse
603,max,9,nHouse
604,min,1,nCells
604,median,1,nCells
604,mean,1.1432038834951457,nCells
604,max,3,nCells
604,min,1,nHouse
604,median,1,nHouse
604,mean,2.2718446601941746,nHouse
604,max,9,nHouse
605,min,1,nCells
605,median,1,nCells
605,mean,1.3300180831826403,nCells
605,max,6,nCells
605,min,1,nHouse
605,median,1,nHouse
605,mean,1.9023508137432188,nHouse
605,max,13,nHouse
606,min,1,nCells
606,median,1,nCells
606,mean,1.347024308466052,nCells
606,max,6,nCells
606,min,1,nHouse
606,median,1,nHouse
606,mean,1.961441743503772,nHouse
606,max,13,nHouse
607,min,1,nCells
607,median,1,nCells
607,mean,1.3617171006333568,nCells
607,max,6,nCells
607,min,1,nHouse
607,median,1,nHouse
607,mean,1.947923997185081,nHouse
607,max,13,nHouse
608,min,1,nCells
608,median,1,nCells
608,mean,1.3584379358437937,nCells
608,max,6,nCells
608,min,1,nHouse
608,median,1,nHouse
608,mean,2.0432357043235703,nHouse
608,max,13,nHouse
609,min,1,nCells
609,median,1,nCells
609,mean,1.3507817811012917,nCells
609,max,6,nCells
609,min,1,nHouse
609,median,1,nHouse
609,mean,2.036029911624745,nHouse
609,max,13,nHouse
610,min,1,nCells
610,median,1,nCells
610,mean,1.3519140362659503,nCells
610,max,6,nCells
610,min,1,nHouse
610,median,1,nHouse
610,mean,2.037609133646743,nHouse
610,max,13,nHouse
611,min,1,nCells
611,median,1,nCells
611,mean,1.3503311258278146,nCells
611,max,6,nCells
611,min,1,nHouse
611,median,1,nHouse
611,mean,2.0543046357615893,nHouse
611,max,13,nHouse
612,min,1,nCells
612,median,1,nCells
612,mean,1.3443152454780363,nCells
612,max,6,nCells
612,min,1,nHouse
612,median,1,nHouse
612,mean,2.0684754521963824,nHouse
612,max,13,nHouse
613,min,1,nCells
613,median,1,nCells
613,mean,1.3519098309329993,nCells
613,max,6,nCells
613,min,1,nHouse
613,median,1,nHouse
613,mean,2.0619912335629307,nHouse
