year,nTot_18km,nType_18km,dummyCell
1031,728,7,91167
1032,781,7,91167
1033,781,7,91167
1034,781,7,91167
1035,781,7,91167
1036,781,7,91167
1037,781,7,91167
1038,781,7,91167
1039,781,7,91167
1040,781,7,91167
1041,728,7,91167
1042,728,7,91167
1043,792,7,91167
1044,739,7,91167
1045,792,7,91167
1046,792,7,91167
1047,792,7,91167
1048,792,7,91167
1049,792,7,91167
1050,792,7,91167
1051,739,7,91167
1052,739,7,91167
1053,739,7,91167
1054,739,7,91167
1055,739,7,91167
1056,739,7,91167
1057,739,7,91167
1058,792,7,91167
1059,792,7,91167
1060,770,7,91167
1061,770,7,91167
1062,770,7,91167
1063,770,7,91167
1165,519,7,38250
1166,519,7,38250
1167,515,7,38250
1168,514,7,38250
1169,567,7,38250
1170,564,7,38250
1171,564,7,38250
1172,628,7,38250
1173,613,7,38250
1174,613,7,38250
1175,613,7,38250
1176,628,7,38250
1177,564,7,38250
1178,562,7,38250
1179,562,7,38250
1180,585,7,38250
1181,596,7,38250
1182,596,7,38250
1183,596,7,38250
1184,596,7,38250
1185,543,7,38250
1186,602,7,38250
1187,602,7,38250
1188,548,7,38250
1189,548,7,38250
1190,545,7,38250
1191,545,7,38250
1192,541,7,38250
1193,594,7,38250
1194,594,7,38250
1195,658,7,38250
1196,764,7,38250
1197,772,7,38250
1198,772,7,38250
1199,771,7,38250
1200,771,7,38250
1201,771,7,38250
1202,767,7,38250
1203,767,7,38250
1204,767,7,38250
1205,713,6,38250
1206,727,6,38250
1207,725,6,38250
1208,725,6,38250
1209,725,6,38250
1210,672,6,38250
1211,672,6,38250
1212,672,6,38250
922,106,6,14098
923,106,6,14098
924,106,6,14098
925,106,6,14098
926,106,6,14098
927,108,6,14098
928,55,6,14098
929,55,6,14098
930,57,6,14098
931,57,6,14098
932,57,6,14098
933,57,6,14098
934,57,6,14098
1165,519,7,57539
1166,519,7,57539
1167,515,7,57539
1168,514,7,57539
1169,567,7,57539
1170,564,7,57539
1171,564,7,57539
1172,628,7,57539
1173,613,7,57539
1174,613,7,57539
1175,613,7,57539
1176,628,7,57539
1177,564,7,57539
1178,562,7,57539
1179,562,7,57539
1180,585,7,57539
1181,596,7,57539
1182,596,7,57539
1183,596,7,57539
1184,596,7,57539
1185,543,7,57539
1186,602,7,57539
1187,602,7,57539
1188,548,7,57539
1189,548,7,57539
1190,545,7,57539
1191,545,7,57539
1192,541,7,57539
1193,594,7,57539
1194,594,7,57539
1195,658,7,57539
1196,764,7,57539
1197,772,7,57539
1198,772,7,57539
1199,771,7,57539
1200,771,7,57539
1201,771,7,57539
1202,767,7,57539
1203,767,7,57539
1204,767,7,57539
1205,713,6,57539
1206,727,6,57539
