dummyCell,boutLength,boutNo,vep,center,year
10025,44,1,6,1,600
10025,44,1,6,1,601
10025,44,1,6,1,602
10025,44,1,6,1,603
10025,44,1,6,1,604
10025,44,1,6,1,605
10025,44,1,6,1,606
10025,44,1,6,1,607
10025,44,1,6,1,608
10025,44,1,6,1,609
10025,44,1,6,1,610
10025,44,1,6,1,611
10025,44,1,6,1,612
10025,44,1,6,1,613
10025,44,1,6,1,614
10025,44,1,6,1,615
10025,44,1,6,1,616
10025,44,1,6,1,617
10025,44,1,6,1,618
10025,44,1,6,1,619
10025,44,1,6,1,620
10025,44,1,6,1,621
10025,44,1,6,1,622
10025,44,1,6,1,623
10025,44,1,6,1,624
10025,44,1,6,1,625
10025,44,1,6,1,626
10025,44,1,6,1,627
10025,44,1,6,1,628
10025,44,1,6,1,629
10025,44,1,6,1,630
10025,44,1,6,1,631
10025,44,1,6,1,632
10025,44,1,6,1,633
10025,44,1,6,1,634
10025,44,1,6,1,635
10025,44,1,6,1,636
10025,44,1,6,1,637
10025,44,1,6,1,638
10025,44,1,6,1,639
10025,44,1,6,1,640
10025,44,1,6,1,641
10025,44,1,6,1,642
10025,44,1,6,1,643
10025,44,1,6,1,644
13306,44,1,6,1,600
13306,44,1,6,1,601
13306,44,1,6,1,602
13306,44,1,6,1,603
13306,44,1,6,1,604
13306,44,1,6,1,605
13306,44,1,6,1,606
13306,44,1,6,1,607
13306,44,1,6,1,608
13306,44,1,6,1,609
13306,44,1,6,1,610
13306,44,1,6,1,611
13306,44,1,6,1,612
13306,44,1,6,1,613
13306,44,1,6,1,614
13306,44,1,6,1,615
13306,44,1,6,1,616
13306,44,1,6,1,617
13306,44,1,6,1,618
13306,44,1,6,1,619
13306,44,1,6,1,620
13306,44,1,6,1,621
13306,44,1,6,1,622
13306,44,1,6,1,623
13306,44,1,6,1,624
13306,44,1,6,1,625
13306,44,1,6,1,626
13306,44,1,6,1,627
13306,44,1,6,1,628
13306,44,1,6,1,629
13306,44,1,6,1,630
13306,44,1,6,1,631
13306,44,1,6,1,632
13306,44,1,6,1,633
13306,44,1,6,1,634
13306,44,1,6,1,635
13306,44,1,6,1,636
13306,44,1,6,1,637
13306,44,1,6,1,638
13306,44,1,6,1,639
13306,44,1,6,1,640
13306,44,1,6,1,641
13306,44,1,6,1,642
13306,44,1,6,1,643
13306,44,1,6,1,644
52792,44,1,6,1,600
52792,44,1,6,1,601
52792,44,1,6,1,602
52792,44,1,6,1,603
52792,44,1,6,1,604
52792,44,1,6,1,605
52792,44,1,6,1,606
52792,44,1,6,1,607
52792,44,1,6,1,608
52792,44,1,6,1,609
52792,44,1,6,1,610
52792,44,1,6,1,611
52792,44,1,6,1,612
52792,44,1,6,1,613
52792,44,1,6,1,614
52792,44,1,6,1,615
52792,44,1,6,1,616
52792,44,1,6,1,617
52792,44,1,6,1,618
52792,44,1,6,1,619
52792,44,1,6,1,620
52792,44,1,6,1,621
52792,44,1,6,1,622
52792,44,1,6,1,623
52792,44,1,6,1,624
52792,44,1,6,1,625
52792,44,1,6,1,626
52792,44,1,6,1,627
52792,44,1,6,1,628
52792,44,1,6,1,629
52792,44,1,6,1,630
52792,44,1,6,1,631
52792,44,1,6,1,632
52792,44,1,6,1,633
52792,44,1,6,1,634
52792,44,1,6,1,635
52792,44,1,6,1,636
52792,44,1,6,1,637
52792,44,1,6,1,638
52792,44,1,6,1,639
52792,44,1,6,1,640
52792,44,1,6,1,641
52792,44,1,6,1,642
52792,44,1,6,1,643
52792,44,1,6,1,644
65556,91,1,6,1,600
65556,91,1,6,1,601
