"","x"
"450",0
"451",0
"452",0
"453",0
"454",0
"455",0
"456",0
"457",0
"458",0
"459",0
"460",0
"461",0
"462",0
"463",0
"464",0
"465",0
"466",0
"467",0
"468",0
"469",0
"470",0
"471",0
"472",0
"473",0
"474",0
"475",0
"476",0
"477",0
"478",0
"479",0
"480",0
"481",0
"482",0
"483",0
"484",0
"485",0
"486",0
"487",0
"488",0
"489",0
"490",0
"491",0
"492",0
"493",0
"494",0
"495",0
"496",0
"497",0
"498",0
"499",0
"500",0
"501",0
"502",0
"503",0
"504",0
"505",0
"506",0
"507",0
"508",0
"509",0
"510",0
"511",0
"512",0
"513",0
"514",0
"515",0
"516",0
"517",0
"518",0
"519",0
"520",0
"521",0
"522",0
"523",0
"524",0
"525",0
"526",0
"527",0
"528",0
"529",0
"530",0
"531",0
"532",0
"533",0
"534",0
"535",0
"536",0
"537",0
"538",0
"539",0
"540",0
"541",0
"542",0
"543",0
"544",0
"545",0
"546",0
"547",0
"548",0
"549",0
"550",0
"551",0
"552",0
"553",0
"554",0
"555",0
"556",0
"557",0
"558",0
"559",0
"560",0
"561",0
"562",0
"563",0
"564",0
"565",0
"566",0
"567",0
"568",0
"569",0
"570",0
"571",5
"572",5
"573",5
"574",5
"575",5
"576",5
"577",5
"578",5
"579",5
"580",5
"581",15
"582",58
"583",65
"584",69
"585",76
"586",86
"587",306
"588",301
"589",320
"590",199
"591",198
"592",192
"593",182
"594",191
"595",109
"596",105
"597",101
"598",103
"599",58
"600",63
"601",59
"602",97
"603",107
"604",143
"605",205
"606",228
"607",306
"608",366
"609",371
"610",395
"611",425
"612",494
"613",485
"614",523
"615",547
"616",631
"617",766
"618",757
"619",763
"620",732
"621",733
"622",733
"623",707
"624",687
"625",525
"626",265
"627",219
"628",206
"629",188
"630",219
"631",217
"632",215
"633",213
"634",226
"635",242
"636",246
"637",262
"638",325
"639",368
"640",381
"641",391
"642",465
"643",484
"644",556
"645",592
"646",589
"647",602
"648",756
"649",775
"650",852
"651",837
"652",789
"653",783
"654",777
"655",786
"656",733
"657",759
"658",743
"659",740
"660",751
"661",788
"662",775
"663",793
"664",848
"665",876
"666",878
"667",874
"668",880
"669",848
"670",840
"671",850
"672",872
"673",882
"674",1012
"675",1039
"676",1065
"677",1060
"678",1138
"679",1103
"680",1135
"681",1214
"682",1224
"683",1247
"684",1282
"685",1297
"686",1276
"687",1235
"688",1185
"689",1258
"690",1097
"691",1104
"692",1038
"693",963
"694",941
"695",904
"696",925
"697",936
"698",716
"699",728
"700",919
"701",973
"702",1006
"703",953
"704",901
"705",904
"706",864
"707",703
"708",388
"709",318
"710",281
"711",190
"712",165
"713",140
"714",142
"715",133
"716",133
"717",129
"718",127
"719",128
"720",116
"721",114
"722",112
"723",110
"724",103
"725",129
"726",126
"727",131
"728",119
"729",119
"730",119
"731",117
"732",115
"733",115
"734",103
"735",102
"736",99
"737",155
"738",157
"739",172
"740",172
"741",187
"742",196
"743",230
"744",234
"745",238
"746",254
"747",265
"748",242
"749",242
"750",243
"751",222
"752",221
"753",192
"754",180
"755",178
"756",184
"757",197
"758",225
"759",279
"760",367
"761",415
"762",480
"763",589
"764",644
"765",695
"766",748
"767",836
"768",868
"769",900
"770",920
"771",931
"772",962
"773",964
"774",965
"775",970
"776",944
"777",873
"778",860
"779",830
"780",806
"781",747
"782",708
"783",613
"784",577
"785",549
"786",524
"787",500
"788",490
"789",506
"790",515
"791",506
"792",522
"793",525
"794",558
"795",586
"796",641
"797",693
"798",707
"799",727
"800",715
"801",711
"802",692
"803",718
"804",703
"805",666
"806",710
"807",652
"808",689
"809",679
"810",641
"811",631
"812",622
"813",631
"814",620
"815",593
"816",591
"817",582
"818",569
"819",540
"820",513
"821",498
"822",488
"823",511
"824",525
"825",531
"826",556
"827",544
"828",559
"829",586
"830",583
"831",589
"832",556
"833",576
"834",538
"835",528
"836",478
"837",470
"838",409
"839",376
"840",384
"841",382
"842",385
"843",392
"844",396
"845",400
"846",408
"847",428
"848",464
"849",463
"850",438
"851",470
"852",497
"853",520
"854",578
"855",629
"856",674
"857",714
"858",775
"859",792
"860",849
"861",880
"862",980
"863",1096
"864",1120
"865",1261
"866",1321
"867",1392
"868",1448
"869",1465
"870",1418
"871",1449
"872",1349
"873",1355
"874",1337
"875",1300
"876",1270
"877",1238
"878",1148
"879",912
"880",801
"881",727
"882",586
"883",536
"884",431
"885",398
"886",384
"887",373
"888",346
"889",337
"890",325
"891",312
"892",330
"893",319
"894",281
"895",263
"896",239
"897",184
"898",173
"899",166
"900",113
"901",96
"902",90
"903",80
"904",73
"905",59
"906",54
"907",49
"908",41
"909",40
"910",35
"911",35
"912",33
"913",27
"914",36
"915",45
"916",67
"917",86
"918",152
"919",181
"920",234
"921",241
"922",255
"923",260
"924",262
"925",310
"926",320
"927",301
"928",273
"929",270
"930",292
"931",387
"932",401
"933",445
"934",645
"935",764
"936",779
"937",818
"938",850
"939",853
"940",880
"941",850
"942",874
"943",893
"944",858
"945",857
"946",845
"947",869
"948",893
"949",873
"950",830
"951",806
"952",753
"953",635
"954",550
"955",516
"956",480
"957",443
"958",445
"959",431
"960",417
"961",444
"962",471
"963",482
"964",544
"965",568
"966",631
"967",643
"968",653
"969",665
"970",683
"971",670
"972",671
"973",663
"974",663
"975",672
"976",689
"977",699
"978",681
"979",674
"980",630
"981",635
"982",648
"983",647
"984",565
"985",560
"986",542
"987",537
"988",517
"989",474
"990",447
"991",431
"992",304
"993",348
"994",357
"995",333
"996",315
"997",328
"998",323
"999",325
"1000",330
"1001",331
"1002",337
"1003",340
"1004",345
"1005",350
"1006",349
"1007",351
"1008",341
"1009",340
"1010",328
"1011",317
"1012",314
"1013",312
"1014",315
"1015",309
"1016",307
"1017",318
"1018",308
"1019",302
"1020",308
"1021",303
"1022",303
"1023",310
"1024",329
"1025",373
"1026",446
"1027",666
"1028",810
"1029",1052
"1030",1313
"1031",2362
"1032",2590
"1033",2719
"1034",2899
"1035",2954
"1036",3227
"1037",3175
"1038",3204
"1039",3162
"1040",3050
"1041",2980
"1042",2985
"1043",3006
"1044",3080
"1045",3260
"1046",3212
"1047",3243
"1048",3274
"1049",2859
"1050",2883
"1051",2840
"1052",2640
"1053",2643
"1054",2630
"1055",2756
"1056",2743
"1057",2737
"1058",2808
"1059",2877
"1060",2883
"1061",2702
"1062",2647
"1063",2719
"1064",2016
"1065",1986
"1066",1948
"1067",1762
"1068",1656
"1069",1596
"1070",1579
"1071",1492
"1072",1427
"1073",1412
"1074",1404
"1075",1375
"1076",1348
"1077",1278
"1078",1252
"1079",1226
"1080",1198
"1081",1215
"1082",1223
"1083",1201
"1084",1158
"1085",1198
"1086",1209
"1087",1157
"1088",1167
"1089",1175
"1090",1179
"1091",1122
"1092",1091
"1093",1069
"1094",1057
"1095",975
"1096",968
"1097",954
"1098",918
"1099",898
"1100",882
"1101",873
"1102",853
"1103",844
"1104",832
"1105",796
"1106",827
