SITE_ID,SITE_NO,dummyCell
3939,5MT4478,13285
4065,5MT4621,70725
4514,5MT5104,92991
4728,5MT5388,13285
8315,5MV1158,77785
8371,5MV3916,15089
8372,5MV3917,15089
8374,5MV3919,77785
8464,5DL863,95397
17805,5MT16784,50169
17809,5MT16806,37487
22113,5MV135,45125
22472,5MV104,10025
22480,5MV1047,55397
22483,5MV105,112330
22493,5MV106,112330
22522,5MV109,112330
22534,5MV110,112330
22625,5MV124,45125
22643,5MV126,33457
22654,5MV127,33457
22665,5MV128,33457
22676,5MV129,33457
22688,5MV130,40578
22699,5MV131,40578
22721,5MV133,33457
23008,5MV1616,16286
23039,5MV1646,34234
23045,5MV1651,30168
23046,5MV1652,15219
23048,5MV1654,15077
23061,5MV1666,112094
23374,5MV200,61078
23857,5MV2473,63790
23858,5MV2474,63790
23865,5MV2480,82640
24171,5MV2772,49192
24310,5MV2903,89948
24314,5MV2907,74922
24316,5MV2909,74922
24323,5MV2915,23408
24327,5MV2919,89948
24356,5MV2945,90336
24358,5MV2947,90336
24380,5MV2967,74922
24522,5MV31,33009
24554,5MV3128,9365
24591,5MV3161,76395
24597,5MV3167,49192
24730,5MV3256,82167
24735,5MV3260,82167
24748,5MV3272,88798
24750,5MV3274,62528
24752,5MV3276,82167
24774,5MV3296,64520
24776,5MV3298,64520
24786,5MV3306,69301
24788,5MV3308,69301
24790,5MV331,13306
24801,5MV332,13306
24812,5MV333,13306
24867,5MV338,65556
25006,5MV3519,57867
25008,5MV3520,85624
25033,5MV3544,61033
25035,5MV3546,61033
25134,5MV3635,113370
25182,5MV3679,18813
25199,5MV3694,85842
25206,5MV370,55397
25213,5MV3706,18805
25215,5MV3708,82640
25217,5MV371,55397
25227,5MV3719,18805
25230,5MV3721,85842
25235,5MV373,118255
25250,5MV3743,18805
25261,5MV3753,108174
25268,5MV376,56826
25305,5MV3793,83568
25324,5MV3810,80486
25328,5MV3814,80486
25332,5MV3818,53412
25389,5MV387,55397
25411,5MV389,55397
25495,5MV4021,63790
25497,5MV4023,63790
25498,5MV4024,63790
25538,5MV4061,61698
25540,5MV4063,18805
25544,5MV4067,10032
25633,5MV4157,17363
25670,5MV69,60697
25735,5MV4218,61335
25940,5MV4505,54445
25955,5MV4523,123058
26004,5MV4572,20080
26053,5MV4632,74922
26135,5MV473,58175
26157,5MV475,58175
26166,5MV476,58175
26178,5MV480,17046
26235,5MV486,85347
26259,5MV489,85347
26263,5MV492,85347
26471,5MV704,48775
26472,5MV705,48775
26502,5MV732,124270
26507,5MV737,80940
26513,5MV742,91357
26528,5MV756,18209
26529,5MV757,18209
26560,5MV785,20009
26561,5MV786,20009
26569,5MV793,20009
26570,5MV794,20009
26571,5MV795,20009
26572,5MV796,20009
26603,5MV811,33203
26604,5MV812,117816
26605,5MV813,45607
26606,5MV814,117816
26607,5MV815,33203
26608,5MV816,33203
26609,5MV817,45607
26610,5MV818,45607
26611,5MV819,45607
26615,5MV822,17290
26616,5MV823,17290
26617,5MV824,17290
26618,5MV825,17290
26620,5MV827,17290
26622,5MV829,117816
26624,5MV830,45607
26625,5MV831,104232
26626,5MV832,33203
26628,5MV834,104232
26629,5MV835,107995
26647,5MV851,109687
26660,5MV864,33203
26661,5MV865,63910
26662,5MV866,61078
26664,5MV868,46802
26665,5MV869,61078
26667,5MV870,61078
26668,5MV871,61078
26669,5MV872,61078
26671,5MV874,63910
26678,5MV886,63910
26692,5MV904,47353
26693,5MV905,49831
26696,5MV908,49802
26755,5MV967,100057
1,5MT19156,76880
3,5MT19158,55146
4,5MT19159,55146
5,5MT3952,77696
9,5MT3947,11536
10,5MT19164,127614
11,5MT19165,76880
12,5MT19166,77696
22,5MT19174,77151
26,5MT19177,117654
27,5MT19178,79114
29,5MT19180,51091
30,5MT19181,16026
34,5MT3935,74913
37,5MT19186,9588
38,5MT19187,74913
39,5MT19188,124262
40,5MT3941,87858
43,5MT3943,87858
46,5MT3823,94125
47,5MT19190,125479
51,5MT3945,17359
55,5MT19195,124190
56,5MT3932,72813
57,5MT19196,72813
60,5MT3926,126350
71,5MT19203,81582
72,5MT3920,24821
73,5MT19204,115381
75,5MT19206,24421
77,5MT19208,35697
83,5MT19214,73222
84,5MT19215,97074
86,5MT3953,64940
87,5MT3942,78128
88,5MT19798,97444
90,5MT19800,43509
92,5MT3923,80758
93,5MT3923,43509
94,5MT3923,80758
96,5MT19218,17016
97,5MT19219,93718
107,5MT766,54311
108,5MT19224,49127
111,5MT6288,23018
113,5MT19227,16012
119,5MT3955,26563
127,5MT19238,110275
136,5MT3927,91802
137,5MT19244,76339
141,5MT3912,89092
150,5MT3916,37268
153,5MT3929,54311
154,5MT13448,117763
157,5MT3949,60229
164,5MT6287,23018
165,5MT3934,127614
171,5MT19263,53277
172,5MT19264,52597
173,5MT6268,94093
174,5MT19265,22763
175,5MT19266,22763
176,5MT19831,119854
179,5MT3791,98783
182,5MT19269,106544
187,5MT19274,63253
191,5MT3957,18422
192,5MT19278,105130
200,5MT19808,104154
202,5MT19285,88175
203,5MT3696,95428
204,5MT19286,87687
205,5MT19287,53725
206,5MT19288,71416
209,5MT19290,90880
210,5MT19291,115381
211,5MT19292,17229
212,5MT19293,60001
213,5MT19294,72351
214,5MT19295,83546
215,5MT19296,71766
216,5MT19297,25571
219,5MT19300,125254
221,5MT19302,53725
227,5MT3959,11652
228,5MT19306,82522
229,5MT6291,31802
233,5MT3960,25140
236,5MT3808,26877
237,5MT19308,80811
238,5MT19309,17496
239,5MT19310,120483
247,5MT19311,79488
248,5MT19312,40777
