SITE_NO,SITE_ID,dummyCell
5MT4478,3939,34340
5MT4621,4065,85443
5MT5104,4514,33206
5MT5388,4728,34340
5MV1158,8315,81959
5MV3916,8371,40004
5MV3917,8372,40004
5MV3919,8374,81959
5DL863,8464,27500
5MT16784,17805,97114
5MT16806,17809,108271
5MV135,22113,74983
5MV104,22472,121552
5MV1047,22480,105439
5MV105,22483,94545
5MV106,22493,94545
5MV109,22522,94545
5MV110,22534,94545
5MV124,22625,74983
5MV126,22643,12238
5MV127,22654,12238
5MV128,22665,12238
5MV129,22676,12238
5MV130,22688,77250
5MV131,22699,77250
5MV133,22721,12238
5MV1616,23008,27357
5MV1646,23039,70095
5MV1651,23045,89530
5MV1652,23046,35018
5MV1654,23048,81835
5MV1666,23061,26039
5MV200,23374,41046
5MV2473,23857,89364
5MV2474,23858,89364
5MV2480,23865,109624
5MV2772,24171,43521
5MV2903,24310,29723
5MV2907,24314,53456
5MV2909,24316,53456
5MV2915,24323,50691
5MV2919,24327,29723
5MV2945,24356,120668
5MV2947,24358,120668
5MV2967,24380,53456
5MV31,24522,65614
5MV3128,24554,23634
5MV3161,24591,122627
5MV3167,24597,43521
5MV3256,24730,29504
5MV3260,24735,29504
5MV3272,24748,22528
5MV3274,24750,56094
5MV3276,24752,29504
5MV3296,24774,48272
5MV3298,24776,48272
5MV3306,24786,111597
5MV3308,24788,111597
5MV331,24790,128251
5MV332,24801,128251
5MV333,24812,128251
5MV338,24867,108722
5MV3519,25006,29889
5MV3520,25008,64546
5MV3544,25033,69427
5MV3546,25035,69427
5MV3635,25134,48135
5MV3679,25182,112780
5MV3694,25199,72170
5MV370,25206,105439
5MV3706,25213,31505
5MV3708,25215,109624
5MV371,25217,105439
5MV3719,25227,31505
5MV3721,25230,72170
5MV373,25235,70693
5MV3743,25250,31505
5MV3753,25261,82549
5MV376,25268,78540
5MV3793,25305,120944
5MV3810,25324,103086
5MV3814,25328,103086
5MV3818,25332,97628
5MV387,25389,105439
5MV389,25411,105439
5MV4021,25495,89364
5MV4023,25497,89364
5MV4024,25498,89364
5MV4061,25538,100786
5MV4063,25540,31505
5MV4067,25544,36360
5MV4157,25633,93640
5MV69,25670,40146
5MV4218,25735,116991
5MV4505,25940,51496
5MV4523,25955,109691
5MV4572,26004,103634
5MV4632,26053,53456
5MV473,26135,36287
5MV475,26157,36287
5MV476,26166,36287
5MV480,26178,30415
5MV486,26235,17179
5MV489,26259,17179
5MV492,26263,17179
5MV704,26471,44034
5MV705,26472,44034
5MV732,26502,27995
5MV737,26507,63443
5MV742,26513,16315
5MV756,26528,50030
5MV757,26529,50030
5MV785,26560,94701
5MV786,26561,94701
5MV793,26569,94701
5MV794,26570,94701
5MV795,26571,94701
5MV796,26572,94701
5MV811,26603,102255
5MV812,26604,113727
5MV813,26605,122348
5MV814,26606,113727
5MV815,26607,102255
5MV816,26608,102255
5MV817,26609,122348
5MV818,26610,122348
5MV819,26611,122348
5MV822,26615,10505
5MV823,26616,10505
5MV824,26617,10505
5MV825,26618,10505
5MV827,26620,10505
5MV829,26622,113727
5MV830,26624,122348
5MV831,26625,22837
5MV832,26626,102255
5MV834,26628,22837
5MV835,26629,80404
5MV851,26647,84150
5MV864,26660,102255
5MV865,26661,11495
5MV866,26662,41046
5MV868,26664,125133
5MV869,26665,41046
5MV870,26667,41046
5MV871,26668,41046
5MV872,26669,41046
5MV874,26671,11495
5MV886,26678,11495
5MV904,26692,61932
5MV905,26693,23495
5MV908,26696,49986
5MV967,26755,25074
5MT19156,1,5792
5MT19158,3,44777
5MT19159,4,44777
5MT3952,5,49113
5MT3947,9,79284
5MT19164,10,26201
5MT19165,11,5792
5MT19166,12,49113
5MT19174,22,120104
5MT19177,26,46740
5MT19178,27,9126
5MT19180,29,18236
5MT19181,30,71808
5MT3935,34,39242
5MT19186,37,71624
5MT19187,38,39242
5MT19188,39,100463
5MT3941,40,18439
5MT3943,43,18439
5MT3823,46,87164
5MT19190,47,57758
5MT3945,51,41289
5MT19195,55,32987
5MT3932,56,111092
5MT19196,57,111092
5MT3926,60,38545
5MT19203,71,57579
5MT3920,72,23813
5MT19204,73,73074
5MT19206,75,57880
5MT19208,77,111507
5MT19214,83,115619
5MT19215,84,47162
5MT3953,86,101310
5MT3942,87,120163
5MT19798,88,121346
5MT19800,90,102744
5MT3923,92,8354
5MT3923,93,102744
5MT3923,94,8354
5MT19218,96,109577
5MT19219,97,109291
5MT766,107,44480
5MT19224,108,126905
5MT6288,111,36431
5MT19227,113,48762
5MT3955,119,8362
5MT19238,127,64521
5MT3927,136,45688
5MT19244,137,109740
5MT3912,141,112668
5MT3916,150,50271
5MT3929,153,44480
5MT13448,154,61640
5MT3949,157,53114
5MT6287,164,36431
5MT3934,165,26201
5MT19263,171,36997
5MT19264,172,108064
5MT6268,173,41278
5MT19265,174,61816
5MT19266,175,61816
5MT19831,176,88791
5MT3791,179,23718
5MT19269,182,59404
5MT19274,187,116990
5MT3957,191,40864
5MT19278,192,45620
5MT19808,200,27594
5MT19285,202,105294
5MT3696,203,110984
5MT19286,204,117808
5MT19287,205,117340
5MT19288,206,24093
5MT19290,209,35810
5MT19291,210,73074
5MT19292,211,85660
5MT19293,212,88501
5MT19294,213,93984
5MT19295,214,59325
5MT19296,215,6724
5MT19297,216,36332
5MT19300,219,57658
5MT19302,221,117340
5MT3959,227,40498
5MT19306,228,17983
5MT6291,229,38335
5MT3960,233,56669
5MT3808,236,34314
5MT19308,237,79227
5MT19309,238,25942
5MT19310,239,20936
5MT19311,247,60082
5MT19312,248,83605
5MT19313,250,99402
5MT19315,252,99402
5MT19316,253,12696
5MT19317,254,121207
5MT19319,256,33856
5MT19321,258,26207
5MT3961,260,59724
5MT3962,263,71638
5MT19325,266,37371
5MT19326,267,87707
5MT19327,268,25391
5MT19328,269,114588
5MT19329,270,64855
5MT3831,271,41913
5MT19330,272,31984
5MT16797,276,89610
5MT3830,277,99573
5MT12666,285,99573
5MT19804,287,99573
5MT3842,295,7767
5MT19358,310,104130
5MT19360,312,29692
5MT19361,313,10650
5MT19363,315,37872
5MT3814,316,39063
5MT3963,317,25913
5MT19364,319,39063
5MT19366,321,66270
5MT19369,324,98000
5MT19372,328,33594
5MT19373,330,31211
5MT19374,332,50542
5MT17380,339,54223
5MT19381,343,50266
5MT19383,345,67309
5MT19389,351,36296
5MT19390,355,27282
5MT19391,358,98740
5MT19393,360,128186
5MT19394,361,27282
5MT19396,363,12399
5MT10247,367,78217
5MT19400,369,48425
5MT10248,372,21151
5MT19402,373,60483
5MT10249,374,21151
5MT10250,376,21151
5MT19405,379,14052
5MT19379,382,21151
5MT19408,383,128328
5MT19410,385,123917
5MT10251,395,97324
5MT19420,401,82469
5MT19421,402,13808
5MT19422,403,13808
5MT19423,404,97067
5MT19425,406,116470
5MT19426,407,8140
5MT19427,408,5972
5MT19428,409,19672
5MT3829,410,75342
5MT19429,411,19672
5MT19430,413,8140
5MT3829,414,100962
5MT16803,422,99573
5MT16788,427,10361
5MT19433,433,126493
5MT19434,434,36489
5MT19435,435,124105
5MT19436,436,60595
5MT19437,437,12019
5MT19438,438,60595
5MT19441,442,60595
5MT263,445,122688
5MT2687,498,91405
5DL1502,531,41196
5DL1503,532,124491
5DL540,552,97182
5DL857,567,40172
5DL865,572,99897
5MT10018,579,95258
5MT10376,630,115230
5MT10405,660,63112
5MT10413,668,92106
5MT10508,698,8817
5MT10610,752,30762
5MT10622,761,53471
5MT10623,762,53471
5MT10631,770,110365
5MT10632,771,129913
5MT10635,774,48642
5MT10636,775,30260
5MT10637,776,125201
5MT10642,781,34336
5MT10643,782,34336
5MT10648,787,34336
5MT10653,792,29337
5MT10655,794,125923
5MT10656,795,107631
5MT10661,800,37617
5MT10663,802,89145
5MT10666,805,9626
5MT10668,807,37617
5MT10669,808,98886
5MT10670,809,98886
5MT10671,810,9715
5MT10673,812,7663
5MT10678,817,58636
5MT10680,819,81909
5MT10682,821,98886
5MT10684,823,104788
5MT10685,824,104788
5MT10687,826,13355
5MT10689,828,35759
5MT10694,833,14068
5MT10701,841,7227
5MT10702,842,40407
5MT10705,845,40407
5MT10706,846,42476
5MT10709,849,78391
5MT10716,856,104708
5MT10718,858,36158
5MT10719,859,94259
5MT10721,861,12265
5MT10731,871,10534
5MT10735,875,10393
5MT10736,876,41895
5MT10742,881,58487
5MT10750,888,8535
5MT10757,894,12265
5MT10759,896,58487
5MT10782,913,74129
5MT10784,915,74129
5MT10786,917,123677
5MT10789,920,126808
5MT10791,922,8535
5MT10794,925,99248
5MT10795,926,99248
5MT10797,928,81900
5MT10798,929,81900
5MT10799,930,124095
5MT10818,946,28450
5MT10819,947,123810
5MT10828,956,44122
5MT10831,959,36787
5MT10834,962,122339
5MT11056,1028,83956
5MT11125,1068,110645
5MT11334,1077,116078
5MT11335,1078,57013
5MT11353,1088,117046
5MT11355,1090,71102
5MT11358,1093,110012
5MT11392,1107,54194
5MT11396,1111,30149
5MT11397,1112,49702
5MT11509,1130,81098
5MT11578,1148,52840
5MT11585,1155,70678
5MT11586,1156,123490
5MT11598,1168,74987
5MT11600,1170,47540
5MT11603,1173,39125
5MT11616,1186,14819
5MT11700,1222,127125
5MT11807,1234,27793
5MT11809,1236,39847
5MT11813,1239,121334
5MT11891,1277,70021
5MT11899,1285,70021
5MT11907,1293,73119
5MT11909,1295,119482
5MT11916,1303,90078
5MT11918,1305,31013
5MT11934,1321,128797
5MT11935,1322,71765
5MT120,1344,6933
5MT12058,1355,119970
5MT12064,1357,41882
5MT1208,1364,87235
5MT12100,1374,101777
5MT12113,1384,110316
5MT12126,1391,23037
5MT12127,1392,63858
5MT12179,1407,36336
5MT125,1445,58977
5MT12581,1454,9006
5MT12594,1462,45864
5MT12599,1467,60708
5MT126,1468,47708
5MT12604,1470,46505
5MT12605,1471,46505
5MT12615,1478,110215
5MT12616,1479,38022
5MT12641,1492,9638
5MT12646,1496,71581
5MT12652,1502,51353
5MT12657,1506,93412
5MT1270,1513,114764
5MT12721,1535,95492
5MT1285,1567,41708
5MT12868,1572,27705
5MT129,1589,39692
5MT12930,1593,12223
5MT12931,1594,67987
5MT12969,1623,123276
5MT12970,1624,123276
5MT12972,1626,18940
5MT12988,1641,84409
5MT12991,1643,62438
5MT12993,1645,76176
5MT12994,1646,54774
5MT12998,1649,34526
5MT13001,1653,65423
5MT13004,1656,78296
5MT13008,1660,113536
5MT13195,1704,8978
5MT13251,1723,52164
5MT133,1766,65039
5MT13301,1768,121234
5MT13304,1771,22262
5MT13305,1772,22262
5MT13306,1773,9684
5MT13307,1774,60673
5MT13309,1776,120566
5MT13310,1777,117345
5MT13311,1778,117345
5MT13313,1780,65487
5MT13315,1782,77857
5MT13321,1788,84292
5MT13321,1789,123179
5MT13331,1798,21802
5MT13345,1811,53739
5MT13351,1817,48485
5MT13352,1818,107803
5MT13353,1819,52876
5MT13354,1820,45987
5MT13356,1822,39104
5MT13365,1831,30348
5MT13369,1835,129010
5MT13372,1838,32399
5MT13373,1839,117677
5MT13375,1841,95404
5MT13378,1844,76006
5MT13386,1852,60098
5MT13388,1854,15845
5MT13393,1859,17169
5MT13404,1871,114838
5MT13408,1875,13645
5MT13411,1878,98952
5MT13415,1882,124730
5MT13418,1885,10327
5MT13419,1886,58963
5MT13420,1887,38452
5MT13424,1891,124730
5MT13427,1894,88068
5MT13433,1900,29788
5MT13434,1901,56190
5MT13436,1903,106475
5MT13444,1911,13941
5MT13470,1924,108683
5MT13491,1926,128401
5MT135,1930,128058
5MT13538,1935,10838
5MT13539,1936,104938
5MT13543,1940,72787
5MT13552,1949,54053
5MT13568,1964,49792
5MT13578,1974,128967
5MT13583,1979,72712
